딜ID,회사명,산업,섹터,본사지역,설립연도,임직원수,펀드명,펀드유형,빈티지,담당파트너,딜상태,투자일자,투자금액(억원),지분율(%),매출(억원),EBITDA(억원),EBITDA마진(%),순부채(억원),기업가치EV(억원),진입 EV/EBITDA(x),진입 EV/Revenue(x),보유기간(년),현재평가가치(억원),MOIC(x),Gross IRR(%),회수일자,회수금액(억원),회수방식
DL-00309,중앙시스템,IT/소프트웨어,데이터/AI,울산,1989,724,벤처그로쓰 1호,Venture,2020,최예린,스크리닝(Screening),,,,280,52.1,18.6,100.9,781.2,15.0,2.79,,,,,,,
DL-00310,동방헬스케어,바이오/헬스케어,디지털헬스,해외(싱가포르),2016,191,바이아웃 1호 PEF,Buyout,2017,오세훈,투자심의(IC),,,,108,21.7,20.1,12.8,241.0,11.1,2.23,,,,,,,
DL-00311,대한로지스틱스,물류/유통,3PL물류,서울,2016,208,바이아웃 2호 PEF,Buyout,2021,배준영,투자완료(Active),2023-03-13,251.3,66.0,89,33.6,37.7,51.9,389.2,11.6,4.37,3.2,713.0,2.84,37.9,,,
DL-00312,보광엔터,미디어/콘텐츠,교육,인천,2015,105,그로쓰 1호 PEF,Growth,2016,윤지호,보류/철회(Dropped),,,,115,45.7,39.7,57.4,378.9,8.3,3.3,,,,,,,
DL-00313,가온시스템,IT/소프트웨어,정보보안,서울,1997,513,세컨더리 1호,Secondary,2023,배준영,투자완료(Active),2023-03-28,917.0,90.8,323,95.0,29.4,419.2,1329.5,14.0,4.12,3.2,1072.3,1.17,5.0,,,
DL-00314,디에이치매니지먼트,B2B서비스,엔지니어링,해외(베트남),1988,319,세컨더리 1호,Secondary,2023,김도현,소싱(Sourcing),,,,164,31.5,19.2,73.1,223.6,7.1,1.36,,,,,,,
DL-00315,한솔매니지먼트,B2B서비스,시설관리,서울,2016,687,그로쓰 2호 PEF,Growth,2019,김도현,투자완료(Active),2020-12-06,724.9,70.6,632,234.5,37.1,452.2,1289.6,5.5,2.04,5.5,1450.8,2.0,13.4,,,
DL-00316,동방바이오,바이오/헬스케어,CRO/CDMO,서울,2012,200,바이아웃 1호 PEF,Buyout,2017,이서준,회수완료(Exited),2023-02-14,84.9,31.0,87,26.8,30.8,14.6,241.2,9.0,2.77,3.3,,0.93,-2.1,2026-06-10,79.2,전략적매각(M&A)
DL-00317,에스환경,에너지/환경,폐기물처리,전남,2009,1086,그로쓰 1호 PEF,Growth,2016,박민재,소싱(Sourcing),,,,395,44.6,11.3,85.8,263.3,5.9,0.67,,,,,,,
DL-00318,태광미디어,미디어/콘텐츠,교육,부산,1996,1050,세컨더리 1호,Secondary,2023,윤지호,스크리닝(Screening),,,,482,54.5,11.3,258.8,544.7,10.0,1.13,,,,,,,
DL-00319,가온물류,물류/유통,콜드체인,서울,2019,431,그로쓰 2호 PEF,Growth,2019,오세훈,투자심의(IC),,,,412,110.8,26.9,20.9,786.9,7.1,1.91,,,,,,,
DL-00320,디에이치제약,바이오/헬스케어,디지털헬스,서울,2003,228,그로쓰 1호 PEF,Growth,2016,김도현,투자완료(Active),2016-08-02,623.0,94.0,222,59.1,26.6,186.0,820.8,13.9,3.7,9.9,1429.4,2.29,8.8,,,
DL-00321,아이엠랩스,IT/소프트웨어,SaaS,경기,2005,313,바이아웃 1호 PEF,Buyout,2017,남기훈,투자완료(Active),2019-06-23,57.4,25.9,253,32.9,13.0,50.2,243.4,7.4,0.96,7.0,52.3,0.91,-1.3,,,
DL-00322,우진F&B,소비재,리테일,경기,2007,112,세컨더리 1호,Secondary,2023,남기훈,스크리닝(Screening),,,,62,4.4,7.1,12.0,28.2,6.4,0.45,,,,,,,
DL-00323,서연메디컬,바이오/헬스케어,체외진단,부산,1999,72,그로쓰 3호 PEF,Growth,2022,오세훈,보류/철회(Dropped),,,,30,7.7,25.7,14.4,103.3,13.4,3.44,,,,,,,
DL-00324,코리아F&B,소비재,화장품,인천,2011,848,그로쓰 3호 PEF,Growth,2022,오세훈,회수완료(Exited),2022-07-20,96.0,56.2,332,20.6,6.2,50.8,212.0,10.3,0.64,3.9,,3.62,39.2,2026-06-10,347.8,Recap/배당
DL-00325,글로벌리빙,소비재,화장품,서울,2004,280,그로쓰 2호 PEF,Growth,2019,김도현,투자완료(Active),2020-07-21,210.7,89.9,154,38.5,25.0,203.0,415.8,10.8,2.7,5.9,453.2,2.15,13.9,,,
DL-00326,보광파이낸셜,금융서비스,여신전문,경기,2012,3390,벤처그로쓰 1호,Venture,2020,한승우,소싱(Sourcing),,,,1470,388.1,26.4,434.1,4191.3,10.8,2.85,,,,,,,
DL-00327,누리이엔지,에너지/환경,신재생에너지,경남,1987,392,그로쓰 2호 PEF,Growth,2019,윤지호,투자심의(IC),,,,314,77.2,24.6,156.2,440.3,5.7,1.4,,,,,,,
DL-00328,가온에너지,에너지/환경,폐기물처리,대구,1999,48,바이아웃 1호 PEF,Buyout,2017,배준영,투자완료(Active),2022-01-28,40.4,58.9,30,6.8,22.6,1.7,62.4,9.2,2.08,4.4,82.4,2.04,17.7,,,
DL-00329,세진로지스틱스,물류/유통,도소매유통,서울,1996,340,세컨더리 1호,Secondary,2023,이서준,소싱(Sourcing),,,,175,51.4,29.4,225.1,514.5,10.0,2.94,,,,,,,
DL-00330,가온정밀,제조/소재,정밀화학,경기,1986,634,스페셜시츄에이션 1호,Special Situation,2018,임수빈,투자완료(Active),2022-08-14,301.0,66.3,286,101.5,35.5,351.1,741.2,7.3,2.59,3.8,692.4,2.3,24.4,,,
DL-00331,에스솔루션,B2B서비스,MRO,인천,1999,317,바이아웃 2호 PEF,Buyout,2021,박민재,투자완료(Active),2021-12-07,183.8,69.5,176,56.1,31.9,54.5,308.8,5.5,1.75,4.5,297.0,1.62,11.2,,,
DL-00332,한라메디컬,바이오/헬스케어,의료기기,서울,2007,129,그로쓰 1호 PEF,Growth,2016,서지원,실사(DD),,,,151,59.0,39.1,36.9,608.1,10.3,4.03,,,,,,,
DL-00333,신성파이낸셜,금융서비스,자산관리,해외(싱가포르),2015,1527,벤처그로쓰 1호,Venture,2020,서지원,투자완료(Active),2022-09-07,4997.3,92.0,1459,445.0,30.5,1070.1,6318.9,14.2,4.33,3.8,8243.6,1.65,14.3,,,
DL-00334,에스스튜디오,미디어/콘텐츠,광고/마케팅,서울,2018,551,그로쓰 1호 PEF,Growth,2016,오세훈,투자완료(Active),2019-07-25,432.8,68.3,449,128.0,28.5,193.2,755.0,5.9,1.68,6.9,529.9,1.22,3.0,,,
DL-00335,정밀스튜디오,미디어/콘텐츠,엔터테인먼트,서울,2013,1955,벤처그로쓰 1호,Venture,2020,강태호,실사(DD),,,,760,301.7,39.7,566.1,3922.4,13.0,5.16,,,,,,,
DL-00336,신성미디어,미디어/콘텐츠,교육,경기,2009,326,벤처그로쓰 1호,Venture,2020,이서준,회수완료(Exited),2024-03-26,328.3,93.2,138,51.1,37.0,129.1,464.6,9.1,3.37,2.2,,1.56,22.4,2026-06-10,512.5,IPO
DL-00337,디에이치익스프레스,물류/유통,콜드체인,광주,1994,2019,바이아웃 1호 PEF,Buyout,2017,김도현,투자완료(Active),2024-09-18,2374.7,71.6,1073,299.4,27.9,867.9,4161.2,13.9,3.88,1.7,5329.3,2.24,59.8,,,
DL-00338,아이엠솔루션,IT/소프트웨어,시스템통합,인천,1992,217,바이아웃 2호 PEF,Buyout,2021,서지원,투자완료(Active),2023-08-03,54.7,90.3,194,10.9,5.6,24.0,82.6,7.6,0.43,2.9,62.4,1.14,4.7,,,
DL-00339,대한스튜디오,미디어/콘텐츠,엔터테인먼트,서울,1996,2970,그로쓰 2호 PEF,Growth,2019,한승우,스크리닝(Screening),,,,1117,120.6,10.8,156.4,989.2,8.2,0.89,,,,,,,
DL-00340,동성유통,물류/유통,콜드체인,서울,1993,432,벤처그로쓰 1호,Venture,2020,고은채,스크리닝(Screening),,,,422,92.8,22.0,355.1,779.9,8.4,1.85,,,,,,,
DL-00341,서연제약,바이오/헬스케어,CRO/CDMO,충남,1989,383,그로쓰 2호 PEF,Growth,2019,윤지호,투자완료(Active),2024-11-12,165.3,81.1,129,37.7,29.2,53.3,241.1,6.4,1.87,1.6,342.3,2.07,58.8,,,
DL-00342,삼정제약,바이오/헬스케어,의료기기,서울,1992,934,그로쓰 2호 PEF,Growth,2019,윤지호,투자완료(Active),2020-01-31,279.3,82.6,412,37.9,9.2,9.4,284.3,7.5,0.69,6.4,313.7,1.12,1.8,,,
DL-00343,보광정보기술,IT/소프트웨어,핀테크,제주,2017,3066,벤처그로쓰 1호,Venture,2020,강태호,스크리닝(Screening),,,,1237,280.8,22.7,655.9,1600.6,5.7,1.29,,,,,,,
DL-00344,유진이엔지,B2B서비스,시설관리,해외(베트남),1991,1173,그로쓰 3호 PEF,Growth,2022,배준영,투자완료(Active),2023-12-28,1660.7,98.5,1133,333.1,29.4,774.0,2298.4,6.9,2.03,2.5,2647.9,1.59,21.0,,,
DL-00345,누리환경,에너지/환경,신재생에너지,경기,1987,261,벤처그로쓰 1호,Venture,2020,남기훈,실사(DD),,,,113,20.9,18.5,73.9,200.7,9.6,1.78,,,,,,,
DL-00346,태광파이낸셜,금융서비스,자산관리,전북,1985,228,세컨더리 1호,Secondary,2023,서지원,투자심의(IC),,,,136,38.1,28.0,16.1,224.7,5.9,1.65,,,,,,,
DL-00347,동방시스템,IT/소프트웨어,핀테크,해외(싱가포르),2010,1656,벤처그로쓰 1호,Venture,2020,정우성,투자완료(Active),2023-08-11,1900.1,95.5,653,195.9,30.0,288.8,2115.7,10.8,3.24,2.8,1912.1,1.01,0.2,,,
DL-00348,서연정보기술,IT/소프트웨어,정보보안,제주,1989,589,그로쓰 1호 PEF,Growth,2016,이서준,투자완료(Active),2022-12-27,118.0,27.7,402,45.4,11.3,81.7,499.7,11.0,1.24,3.5,389.0,3.3,41.3,,,
DL-00349,디에이치금융,금융서비스,자산관리,서울,2019,164,벤처그로쓰 1호,Venture,2020,배준영,회수완료(Exited),2023-09-12,424.7,88.8,138,48.2,34.9,8.1,452.7,9.4,3.28,2.7,,1.21,7.4,2026-06-10,515.9,재무적매각(Secondary)
DL-00350,대명엔터,미디어/콘텐츠,교육,인천,2019,942,세컨더리 1호,Secondary,2023,서지원,투자완료(Active),2024-01-22,1068.4,69.4,499,174.2,34.9,344.2,1758.9,10.1,3.52,2.4,2714.6,2.54,47.9,,,
DL-00351,대한정밀,제조/소재,철강금속,경북,1986,2052,벤처그로쓰 1호,Venture,2020,배준영,투자완료(Active),2020-04-25,798.9,72.9,1203,220.1,18.3,1015.4,2047.4,9.3,1.7,6.1,1607.7,2.01,12.1,,,
DL-00352,미래시스템,IT/소프트웨어,정보보안,서울,2012,3476,벤처그로쓰 1호,Venture,2020,김도현,투자완료(Active),2022-02-12,1005.7,65.6,1171,167.5,14.3,590.8,2009.4,12.0,1.72,4.3,919.5,0.91,-2.0,,,
DL-00353,디에이치푸드,소비재,패션/리빙,충북,2008,480,벤처그로쓰 1호,Venture,2020,박민재,투자완료(Active),2025-05-15,72.2,27.4,221,34.0,15.4,146.5,364.2,10.7,1.65,1.1,74.5,1.03,2.9,,,
DL-00354,세진소프트,IT/소프트웨어,시스템통합,대구,2012,1327,바이아웃 2호 PEF,Buyout,2021,한승우,회수완료(Exited),2024-01-27,218.7,34.4,583,113.7,19.5,219.7,852.6,7.5,1.46,2.4,,1.95,32.4,2026-06-10,425.5,Recap/배당
DL-00355,가온푸드,소비재,리테일,경북,1988,622,스페셜시츄에이션 1호,Special Situation,2018,오세훈,투자완료(Active),2022-11-19,119.1,52.8,426,43.5,10.2,96.8,282.4,6.5,0.66,3.6,403.7,3.39,40.9,,,
DL-00356,광림스튜디오,미디어/콘텐츠,엔터테인먼트,대구,2010,468,바이아웃 2호 PEF,Buyout,2021,서지원,투자완료(Active),2023-06-13,109.1,53.8,251,15.1,6.0,30.4,195.8,13.0,0.78,3.0,129.2,1.18,5.8,,,
DL-00357,세진소재,제조/소재,정밀화학,대구,2016,2731,그로쓰 3호 PEF,Growth,2022,서지원,회수완료(Exited),2022-07-04,278.2,51.8,985,151.7,15.4,405.7,849.5,5.6,0.86,3.9,,2.12,21.0,2026-06-10,588.3,구주매출
DL-00358,현우로지스틱스,물류/유통,도소매유통,서울,2006,3637,그로쓰 2호 PEF,Growth,2019,배준영,회수완료(Exited),2020-03-13,2631.6,34.0,2843,943.9,33.2,5474.6,11704.1,12.4,4.12,4.0,,1.14,3.4,2024-02-28,3009.2,IPO
DL-00359,유진파이낸셜,금융서비스,인슈어테크,경기,2002,409,스페셜시츄에이션 1호,Special Situation,2018,임수빈,투자완료(Active),2025-06-05,147.8,83.9,192,64.7,33.7,162.6,336.5,5.2,1.75,1.0,176.0,1.19,18.8,,,
DL-00360,가온환경,에너지/환경,신재생에너지,경북,2010,1061,스페셜시츄에이션 1호,Special Situation,2018,김도현,회수완료(Exited),2025-03-24,678.8,52.5,709,248.9,35.1,360.4,1642.5,6.6,2.32,1.2,,1.87,67.5,2026-06-10,1268.9,재무적매각(Secondary)
DL-00361,광림미디어,미디어/콘텐츠,게임,대전,2020,1727,그로쓰 2호 PEF,Growth,2019,강태호,투자완료(Active),2020-07-11,37.6,20.2,790,47.4,6.0,83.6,260.7,5.5,0.33,5.9,43.0,1.15,2.3,,,
DL-00362,서연랩스,IT/소프트웨어,핀테크,대전,2011,1812,그로쓰 3호 PEF,Growth,2022,고은채,투자완료(Active),2023-11-02,1617.6,84.0,784,170.1,21.7,275.0,2109.6,12.4,2.69,2.6,2361.4,1.46,15.6,,,
DL-00363,한국엔터,미디어/콘텐츠,광고/마케팅,전남,1997,38,바이아웃 1호 PEF,Buyout,2017,이서준,보류/철회(Dropped),,,,34,2.3,6.7,7.7,25.5,11.2,0.75,,,,,,,
DL-00364,한국그린텍,에너지/환경,폐기물처리,경기,1992,578,세컨더리 1호,Secondary,2023,고은채,투자완료(Active),2024-01-27,378.5,30.4,237,90.3,38.1,157.4,1182.9,13.1,4.99,2.4,374.2,0.99,-0.5,,,
DL-00365,케이미디어,미디어/콘텐츠,광고/마케팅,서울,2000,321,바이아웃 2호 PEF,Buyout,2021,정우성,투자완료(Active),2024-11-20,116.1,51.8,213,44.7,21.0,15.2,228.1,5.1,1.07,1.6,158.6,1.37,22.2,,,
DL-00366,미래익스프레스,물류/유통,3PL물류,서울,2007,433,벤처그로쓰 1호,Venture,2020,정우성,투자완료(Active),2023-02-19,40.7,23.3,148,23.1,15.6,38.1,205.5,8.9,1.39,3.3,40.9,1.0,0.1,,,
DL-00367,코리아그린텍,에너지/환경,수처리,경기,1993,1072,바이아웃 2호 PEF,Buyout,2021,이서준,실사(DD),,,,385,57.0,14.8,105.4,490.0,8.6,1.27,,,,,,,
DL-00368,누리유통,물류/유통,콜드체인,경기,2016,597,그로쓰 3호 PEF,Growth,2022,강태호,투자완료(Active),2022-11-01,404.7,24.4,652,227.5,34.9,1053.5,2639.6,11.6,4.05,3.6,619.4,1.53,12.5,,,
DL-00369,미래페이,금융서비스,결제,서울,2014,1018,벤처그로쓰 1호,Venture,2020,남기훈,투자완료(Active),2021-01-04,808.5,86.8,376,132.7,35.3,38.5,822.9,6.2,2.19,5.4,2104.9,2.6,19.3,,,
DL-00370,누리푸드,소비재,식음료,서울,1991,2559,그로쓰 2호 PEF,Growth,2019,정우성,투자완료(Active),2020-09-21,258.9,22.3,969,182.2,18.8,944.4,1985.7,10.9,2.05,5.7,534.1,2.06,13.5,,,
DL-00371,에스유통,물류/유통,3PL물류,제주,2003,506,그로쓰 3호 PEF,Growth,2022,정우성,회수완료(Exited),2022-12-31,124.3,39.2,302,22.6,7.5,62.6,328.4,14.5,1.09,3.4,,0.98,-0.6,2026-06-10,121.7,전략적매각(M&A)
DL-00372,현우정보기술,IT/소프트웨어,정보보안,부산,2008,725,벤처그로쓰 1호,Venture,2020,서지원,소싱(Sourcing),,,,419,150.8,36.0,416.2,1478.2,9.8,3.53,,,,,,,
DL-00373,동방엔터,미디어/콘텐츠,엔터테인먼트,경기,1994,1604,세컨더리 1호,Secondary,2023,서지원,스크리닝(Screening),,,,1647,456.2,27.7,619.5,2646.1,5.8,1.61,,,,,,,
DL-00374,신성캐피탈,금융서비스,인슈어테크,대전,2012,503,바이아웃 2호 PEF,Buyout,2021,고은채,스크리닝(Screening),,,,290,22.3,7.7,6.6,122.8,5.5,0.42,,,,,,,
DL-00375,동성정보기술,IT/소프트웨어,데이터/AI,인천,1990,1381,바이아웃 2호 PEF,Buyout,2021,강태호,스크리닝(Screening),,,,805,261.6,32.5,79.3,3505.8,13.4,4.36,,,,,,,
DL-00376,아이엠커머스,물류/유통,콜드체인,울산,2006,230,세컨더리 1호,Secondary,2023,오세훈,회수완료(Exited),2024-07-01,101.2,21.4,223,69.4,31.1,332.5,762.9,11.0,3.42,1.6,,1.18,11.1,2026-01-26,119.4,Recap/배당
DL-00377,제이금융,금융서비스,인슈어테크,경기,1993,172,스페셜시츄에이션 1호,Special Situation,2018,배준영,실사(DD),,,,201,67.5,33.6,76.3,810.4,12.0,4.03,,,,,,,
DL-00378,케이금융,금융서비스,자산관리,서울,2015,657,바이아웃 2호 PEF,Buyout,2021,배준영,투자완료(Active),2021-02-10,1264.1,88.8,352,128.8,36.6,355.7,1597.5,12.4,4.54,5.3,1231.7,0.97,-0.5,,,
DL-00379,미래게임즈,미디어/콘텐츠,게임,해외(싱가포르),2020,793,세컨더리 1호,Secondary,2023,남기훈,투자완료(Active),2023-08-26,612.9,77.1,293,89.1,30.4,580.4,1282.6,14.4,4.38,2.8,888.9,1.45,14.3,,,
DL-00380,케이솔루션,IT/소프트웨어,정보보안,서울,1986,125,벤처그로쓰 1호,Venture,2020,임수빈,투자완료(Active),2023-11-03,48.8,47.1,60,12.8,21.4,30.6,120.7,9.4,2.01,2.6,151.8,3.11,54.7,,,
DL-00381,한솔진단,바이오/헬스케어,체외진단,경기,2008,9675,스페셜시츄에이션 1호,Special Situation,2018,고은채,회수완료(Exited),2025-06-25,8040.9,58.6,3952,1367.4,34.6,2162.9,15314.8,11.2,3.88,1.0,,2.1,116.6,2026-06-10,16866.7,Recap/배당
DL-00382,한국에셋,금융서비스,인슈어테크,경남,2017,472,벤처그로쓰 1호,Venture,2020,서지원,스크리닝(Screening),,,,305,28.1,9.2,26.0,202.0,7.2,0.66,,,,,,,
DL-00383,대명그린텍,에너지/환경,신재생에너지,서울,2017,1409,그로쓰 3호 PEF,Growth,2022,고은채,투자완료(Active),2022-08-16,335.0,98.0,483,32.8,6.8,190.3,476.2,14.5,0.99,3.8,893.9,2.67,29.3,,,
DL-00384,대한랩스,IT/소프트웨어,시스템통합,서울,2008,194,그로쓰 2호 PEF,Growth,2019,고은채,스크리닝(Screening),,,,191,39.2,20.5,144.8,395.5,10.1,2.07,,,,,,,
DL-00385,광림환경,에너지/환경,전력/전기,서울,1985,82,바이아웃 1호 PEF,Buyout,2017,임수빈,보류/철회(Dropped),,,,51,8.6,16.9,3.7,87.1,10.1,1.71,,,,,,,
DL-00386,성안미디어,미디어/콘텐츠,엔터테인먼트,서울,2012,513,스페셜시츄에이션 1호,Special Situation,2018,배준영,스크리닝(Screening),,,,322,67.9,21.1,364.4,917.2,13.5,2.85,,,,,,,
DL-00387,신성산업,제조/소재,2차전지소재,대전,2010,1905,그로쓰 2호 PEF,Growth,2019,이서준,실사(DD),,,,804,294.3,36.6,520.4,1647.9,5.6,2.05,,,,,,,
DL-00388,현우매니지먼트,B2B서비스,엔지니어링,경남,2002,5422,벤처그로쓰 1호,Venture,2020,강태호,소싱(Sourcing),,,,1970,199.0,10.1,576.5,1790.7,9.0,0.91,,,,,,,
DL-00389,현우페이,금융서비스,인슈어테크,울산,2006,279,바이아웃 2호 PEF,Buyout,2021,이서준,소싱(Sourcing),,,,220,78.8,35.8,217.2,803.4,10.2,3.65,,,,,,,
DL-00390,대명이엔지,B2B서비스,엔지니어링,서울,2004,255,바이아웃 2호 PEF,Buyout,2021,정우성,회수완료(Exited),2022-09-03,101.2,65.8,238,41.4,17.4,74.1,227.8,5.5,0.96,3.4,,4.34,54.0,2026-01-26,439.3,구주매출
DL-00391,삼정리빙,소비재,패션/리빙,대구,2000,127,그로쓰 3호 PEF,Growth,2022,남기훈,투자심의(IC),,,,114,13.3,11.7,38.8,170.7,12.8,1.5,,,,,,,
DL-00392,대한게임즈,미디어/콘텐츠,교육,경남,2008,1328,세컨더리 1호,Secondary,2023,정우성,투자완료(Active),2024-10-13,676.8,53.9,637,156.7,24.6,874.5,2005.8,12.8,3.15,1.7,1894.8,2.8,86.2,,,
DL-00393,신성게임즈,미디어/콘텐츠,광고/마케팅,대전,2018,307,그로쓰 3호 PEF,Growth,2022,남기훈,투자완료(Active),2022-09-01,204.4,68.1,191,41.3,21.6,243.4,515.7,12.5,2.7,3.8,174.6,0.85,-4.1,,,
DL-00394,한국정밀,제조/소재,철강금속,서울,2004,1360,스페셜시츄에이션 1호,Special Situation,2018,김도현,회수완료(Exited),2018-07-03,1659.8,53.4,868,292.5,33.7,177.1,2895.9,9.9,3.34,4.7,,1.81,13.6,2023-03-04,3007.7,Recap/배당
DL-00395,대명캐피탈,금융서비스,자산관리,경기,2013,90,세컨더리 1호,Secondary,2023,배준영,투자완료(Active),2024-02-09,16.4,47.1,55,4.5,8.1,15.6,49.9,11.2,0.91,2.3,31.7,1.93,32.7,,,
DL-00396,유진로지스틱스,물류/유통,3PL물류,인천,2020,1004,바이아웃 2호 PEF,Buyout,2021,한승우,투자완료(Active),2021-02-08,472.3,29.6,527,202.9,38.5,776.7,2069.5,10.2,3.93,5.3,961.3,2.04,14.3,,,
DL-00397,세진금융,금융서비스,여신전문,부산,1986,298,스페셜시츄에이션 1호,Special Situation,2018,오세훈,소싱(Sourcing),,,,298,17.3,5.8,34.0,178.0,10.3,0.6,,,,,,,
DL-00398,우진시스템,IT/소프트웨어,시스템통합,서울,2004,201,바이아웃 2호 PEF,Buyout,2021,배준영,소싱(Sourcing),,,,73,11.2,15.4,4.8,67.5,6.0,0.92,,,,,,,
DL-00399,광림로지스틱스,물류/유통,도소매유통,서울,2000,703,바이아웃 1호 PEF,Buyout,2017,배준영,투자완료(Active),2021-07-26,109.0,25.2,386,71.4,18.5,13.4,442.7,6.2,1.15,4.9,494.4,4.54,36.4,,,
DL-00400,가온메탈,제조/소재,정밀화학,대구,1993,711,바이아웃 1호 PEF,Buyout,2017,배준영,투자완료(Active),2021-03-10,129.5,63.2,243,19.2,7.9,22.3,218.8,11.4,0.9,5.3,413.7,3.2,24.8,,,
DL-00401,광림테크,제조/소재,자동차부품,해외(베트남),1985,320,바이아웃 2호 PEF,Buyout,2021,서지원,보류/철회(Dropped),,,,253,72.9,28.8,460.4,1093.0,15.0,4.32,,,,,,,
DL-00402,대한이엔지,B2B서비스,엔지니어링,광주,1992,4931,그로쓰 2호 PEF,Growth,2019,최예린,소싱(Sourcing),,,,2581,1032.4,40.0,1502.0,14247.1,13.8,5.52,,,,,,,
DL-00403,한라환경,에너지/환경,전력/전기,대구,2006,654,벤처그로쓰 1호,Venture,2020,강태호,스크리닝(Screening),,,,279,79.5,28.5,323.9,723.6,9.1,2.59,,,,,,,
DL-00404,동성엔터,미디어/콘텐츠,게임,경기,2009,134,스페셜시츄에이션 1호,Special Situation,2018,고은채,투자완료(Active),2022-12-26,13.3,20.7,47,13.8,29.4,16.3,70.5,5.1,1.5,3.5,36.3,2.73,33.8,,,
DL-00405,동방그린텍,에너지/환경,폐기물처리,부산,2008,290,바이아웃 1호 PEF,Buyout,2017,정우성,보류/철회(Dropped),,,,98,29.0,29.6,1.1,322.0,11.1,3.29,,,,,,,
DL-00406,디에이치미디어,미디어/콘텐츠,게임,인천,1989,1505,그로쓰 3호 PEF,Growth,2022,이서준,투자완료(Active),2025-06-12,279.9,40.2,657,228.0,34.7,574.9,1185.5,5.2,1.8,1.0,263.8,0.94,-5.8,,,
DL-00407,한라산업,제조/소재,정밀화학,대전,1987,702,세컨더리 1호,Secondary,2023,임수빈,투자심의(IC),,,,866,127.3,14.7,262.8,1171.2,9.2,1.35,,,,,,,
DL-00408,동방푸드,소비재,패션/리빙,충남,1989,774,바이아웃 1호 PEF,Buyout,2017,남기훈,투자완료(Active),2021-11-05,554.6,84.6,899,148.3,16.5,259.7,830.7,5.6,0.92,4.6,990.7,1.79,13.5,,,
DL-00409,미래커머스,물류/유통,이커머스,서울,2006,424,벤처그로쓰 1호,Venture,2020,고은채,소싱(Sourcing),,,,420,31.9,7.6,77.0,351.1,11.0,0.84,,,,,,,
DL-00410,중앙파이낸셜,금융서비스,여신전문,경기,2013,604,그로쓰 2호 PEF,Growth,2019,배준영,소싱(Sourcing),,,,359,25.1,7.0,58.7,138.2,5.5,0.39,,,,,,,
DL-00411,보광콘텐츠,미디어/콘텐츠,광고/마케팅,충남,2012,3387,그로쓰 1호 PEF,Growth,2016,임수빈,투자심의(IC),,,,1883,318.2,16.9,1793.9,4582.5,14.4,2.43,,,,,,,
DL-00412,미래에너지,에너지/환경,폐기물처리,서울,1997,454,그로쓰 2호 PEF,Growth,2019,오세훈,투자완료(Active),2019-06-30,243.9,24.8,412,89.8,21.8,93.5,1005.9,11.2,2.44,6.9,128.2,0.53,-8.8,,,
DL-00413,아이엠그린텍,에너지/환경,전력/전기,울산,2006,887,그로쓰 3호 PEF,Growth,2022,임수빈,실사(DD),,,,437,44.1,10.1,133.8,326.6,7.4,0.75,,,,,,,
DL-00414,태광케미칼,제조/소재,2차전지소재,전북,2015,874,그로쓰 2호 PEF,Growth,2019,강태호,스크리닝(Screening),,,,508,128.0,25.2,575.8,1869.0,14.6,3.68,,,,,,,
DL-00415,에스바이오,바이오/헬스케어,제약,경기,1999,973,그로쓰 1호 PEF,Growth,2016,서지원,스크리닝(Screening),,,,378,82.4,21.8,426.3,1046.5,12.7,2.77,,,,,,,
DL-00416,정밀미디어,미디어/콘텐츠,광고/마케팅,충북,2007,233,그로쓰 1호 PEF,Growth,2016,강태호,소싱(Sourcing),,,,270,68.8,25.5,19.2,874.4,12.7,3.24,,,,,,,
DL-00417,현우리빙,소비재,패션/리빙,대전,1996,251,벤처그로쓰 1호,Venture,2020,고은채,투자완료(Active),2023-09-03,96.8,83.0,228,32.4,14.2,80.8,194.3,6.0,0.85,2.8,233.6,2.41,37.5,,,
DL-00418,세진리빙,소비재,패션/리빙,대구,1994,318,스페셜시츄에이션 1호,Special Situation,2018,남기훈,소싱(Sourcing),,,,145,42.5,29.3,74.8,348.4,8.2,2.4,,,,,,,
DL-00419,보광메탈,제조/소재,철강금속,서울,2002,473,그로쓰 3호 PEF,Growth,2022,강태호,스크리닝(Screening),,,,247,53.1,21.5,20.0,616.0,11.6,2.49,,,,,,,
DL-00420,코리아솔루션,B2B서비스,엔지니어링,인천,2015,284,세컨더리 1호,Secondary,2023,남기훈,보류/철회(Dropped),,,,222,82.6,37.2,16.3,891.9,10.8,4.02,,,,,,,
DL-00421,보광코스메틱,소비재,리테일,경기,2021,348,바이아웃 2호 PEF,Buyout,2021,윤지호,회수완료(Exited),2021-03-26,327.2,57.2,267,83.6,31.3,173.4,668.6,8.0,2.5,3.9,,1.79,16.2,2025-02-12,586.5,재무적매각(Secondary)
DL-00422,한라페이,금융서비스,인슈어테크,서울,1989,804,세컨더리 1호,Secondary,2023,정우성,실사(DD),,,,318,109.7,34.5,356.6,1108.1,10.1,3.48,,,,,,,
DL-00423,미래식품,소비재,식음료,경기,2006,189,바이아웃 1호 PEF,Buyout,2017,강태호,스크리닝(Screening),,,,89,28.4,31.9,36.5,383.3,13.5,4.31,,,,,,,
